building_id,asset_id,building_name,building_address,building_register_id,gross_floor_area_m2,main_use,structure_type,completion_year,floor_count,building_standard_value,building_standard_value_year,calculation_source,fire_risk_category,fire_tax_multiplier,urban_area_status,source_url,source_page,validation_status,source_type,source_document_name,source_document_date,source_quote_or_evidence,retrieved_at,source_hash,source_reliability,reviewer_status,building_standard_value_nature,property_tax_base_method,fire_resource_tax_base_method,fire_tax_multiplier_status,fire_tax_evidence_source_url,fire_tax_evidence_page,fire_tax_evidence_quote
365550-ESR-001-B001,365550-ESR-001,Goyang Logistics Park,"570, Gwonyul-daero, Deogyanggu (701, Wonheung-dong), Goyang-si, Gyeonggi-do",,199678,logistics,,2019.01,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/a2cad066-246a-53a3-8d22-4599e0639edc,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Goyang Logistics Park / GFA 199678 sqm / completion 2019.01,2026-07-15T05:46:59.489143+00:00,5d27d6f25398f2311420002e0f2e40978ec76128e7a838bf6b7b937c871e71e5,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-002-B001,365550-ESR-002,Bucheon Cold Logistics Park,"112, Sinheung-ro 511beon-gil (801, Ojeong-dong), Bucheon-si, Gyeonggi-do",,58264,logistics,,2019.07,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/ca9d9b48-f717-5f28-8632-ff4236606f21,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Bucheon Cold Logistics Park / GFA 58264 sqm / completion 2019.07,2026-07-15T05:46:59.489143+00:00,f800a249da4954a8f55114bc86bacdccf44f4063e432d7bf9ca32fd5a88226be,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-003-B001,365550-ESR-003,Icheon Logistics Park 10,"428, Sujeong-ri, Bubal-eup, Icheon-si, Gyeonggi-do",,39503,logistics,,2022.11,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c4443ef2-ef4d-5b93-8a0f-a6dcc8d75a08,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 10 / GFA 39503 sqm / completion 2022.11,2026-07-15T05:46:59.489143+00:00,d4173f2c4b828646108eb2b777daab2a7b52259f8148b05f0d79a54c280d0b59,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-004-B001,365550-ESR-004,Icheon Logistics Park 9,"1235-1, Naechon-ri, Baegsa-myeon, Icheon-si, Gyeonggi-do",,44826,logistics,,2022.08,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c3c30f3a-c07d-5292-877b-02e29fa5055c,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 9 / GFA 44826 sqm / completion 2022.08,2026-07-15T05:46:59.489143+00:00,8e65f179b0d3ed4e5df3d28b6795a32f0d7a195571d47587cd1ba76866624c7a,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-005-B001,365550-ESR-005,Cheonan Logistics Park 1,"153- 4,  Singpoong-ri, Susin-myeon, Dongnam-gu, Cheonan-si, Chungcheongnam-do",,54862,logistics,,2002.12,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c037f166-0ae9-5b87-82b1-53a49e9feb9b,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Cheonan Logistics Park 1 / GFA 54862 sqm / completion 2002.12,2026-07-15T05:46:59.489143+00:00,8b9215c704f1b3edce71050abe599fced50332ac6271cd724a255310dfe7920a,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-006-B001,365550-ESR-006,Icheon Logistics Park 5,"423, Haewol-ri, Majang-myeon, Icheon-si, Gyeonggi-do",,84545,logistics,,2020.02,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/8dfce441-c8e5-5364-8a7f-83d7a7a6a159,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 5 / GFA 84545 sqm / completion 2020.02,2026-07-15T05:46:59.489143+00:00,27b6236ed1d3823460dfb3d248ea0fbce6129dd95dc6554821749daa9f7786f9,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-007-B001,365550-ESR-007,Icheon Logistics Park 6,"250, Joeup-ri, Baeksa-myeon, Icheon-si, Gyeonggi-do",,62195,logistics,,2023.02,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/b58609e3-917a-55d4-8013-d151eda03bbb,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 6 / GFA 62195 sqm / completion 2023.02,2026-07-15T05:46:59.489143+00:00,0d524243915c84ef7c60f73a4a1b0768351e02483bffa62e0d0bf8dce17f6888,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-008-B001,365550-ESR-008,Yongin Logistics Park 1,"120, Deokpyeong-ro (434, Gachang-ri), Baegam-myeon, Cheoin-gu, Yongin-si, Gyeonggi-do",,70028,logistics,,2017.11,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/7ad7ed9b-1568-5a4d-82ce-e479e694c9bd,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Yongin Logistics Park 1 / GFA 70028 sqm / completion 2017.11,2026-07-15T05:46:59.489143+00:00,77ac22d5f01def9fc6e5a194493fbc6dbb797085968aa1c97e184d383b7fe06c,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-009-B001,365550-ESR-009,Yongin Logistics Park 2,"271, Yangji-ro (90-7, Yangji-ri), Yangji-myeon, Cheoin-gu, Yongin-si, Gyeonggi-do",,43176,logistics,,2017.01,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/dc5550b3-3412-592b-8562-361e97505c6f,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Yongin Logistics Park 2 / GFA 43176 sqm / completion 2017.01,2026-07-15T05:46:59.489143+00:00,d27809bb88db3580c0cbf909a723072eb0881b1965bb38ea80e2473481f78ee7,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-010-B001,365550-ESR-010,Yongin Logistics Park 3 (BRIC),"439, Wonam-ro, Namsa-eup, Cheoin-gu, Yongin-si, Gyeonggi-do",,43045,logistics,,2020.06,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/ef253768-517b-5317-80bd-13e02a5a879f,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Yongin Logistics Park 3 (BRIC) / GFA 43045 sqm / completion 2020.06,2026-07-15T05:46:59.489143+00:00,dff5a1618ae464c5eec8b822da764ff2fdd47eb2995905aa0cb33979f61144b5,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-011-B001,365550-ESR-011,Icheon Logistics Park 2,"472-96, Deokpyeong-ro (580-1, Maegok-ri), Hobeop-myeon, Icheon-si, Gyeonggi-do",,33365,logistics,,2018.04,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/56dfe3a8-71c7-5717-870b-0716a53a94a1,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 2 / GFA 33365 sqm / completion 2018.04,2026-07-15T05:46:59.489143+00:00,828c2442b666b7a3ba314f5ca232738e7885108d102d283ecd22551df7954e9f,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-012-B001,365550-ESR-012,Icheon Logistics Park 3,"472-67, Deokpyeong-ro (567-46, Maegok-ri), Hobeop-myeon, Icheon-si, Gyeonggi-do",,18421,logistics,,2018.12,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/3529c6ad-5d3d-54fe-8182-d30a93a5fc38,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 3 / GFA 18421 sqm / completion 2018.12,2026-07-15T05:46:59.489143+00:00,86863783c15cede1f6e0a5768279fa8488ab17272054d836a4a67d16015b78a4,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-013-B001,365550-ESR-013,Icheon Logistcs Park 8,"253-1, Ichi-ri, Majang-myeon, Icheon-si, Gyeonggi-do",,43405,logistics,,2017.05,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/30a2a033-7bc7-535a-8bac-1e7cd8f7419a,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistcs Park 8 / GFA 43405 sqm / completion 2017.05,2026-07-15T05:46:59.489143+00:00,2f898c69055946e82dc84c6ca35329bc21ca10c2b0c8b0dbb67543458ad9b9e6,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-014-B001,365550-ESR-014,Icheon Logistics Park 7,"310, Bupil-ri, Daewol-myeon, Icheon-si, Gyeonggi-do",,46041,logistics,,2023.05,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/a9dc74bc-9d0d-5c5a-829c-451032ac3b1c,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Icheon Logistics Park 7 / GFA 46041 sqm / completion 2023.05,2026-07-15T05:46:59.489143+00:00,6c738fc158547c99a5525eb5cf9eaa1d68e953c78753d5197b4c5ae72c5c507e,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-015-B001,365550-ESR-015,Pyeongtaek Logistics Park,"1198-5, Baran-ro (2021, Suworam-ri), Seotan-myeon, Pyeongtaek-si, Gyeonggi-do",,43212,logistics,,2013.08,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c23cd379-89d7-5a62-8dce-dc2a650a8f82,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Pyeongtaek Logistics Park / GFA 43212 sqm / completion 2013.08,2026-07-15T05:46:59.489143+00:00,fa5c57e1d97c7a510ed53d64ed1b37c45ff2b3d41d00048b0376580b89ba94c4,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-016-B001,365550-ESR-016,Anseong Logistics Park 1,"35, Nokbae-gil (35-4, Jangneung-ri), Juksan-myeon, Anseong-si, Gyeonggi-do",,95265,logistics,,2020.02,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/f54f2f9d-1c52-5914-81f7-a1e2de3245b5,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Anseong Logistics Park 1 / GFA 95265 sqm / completion 2020.02,2026-07-15T05:46:59.489143+00:00,2fcc83bec4fabd1b208f11b56fadec8a4703b58580580bd71a6c3e681af788f8,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-017-B001,365550-ESR-017,Anseong Logistics Park 2,"915, Chilgok-ri, Wongok-myeon, Anseong-si, Gyeonggi-do",,154990,logistics,,2020.06,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/ad484970-51a8-5715-86f9-c40020910b29,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Anseong Logistics Park 2 / GFA 154990 sqm / completion 2020.06,2026-07-15T05:46:59.489143+00:00,94a1bda0f7089c306c927a54223097efa3941bc064644f67a2b78667b9386f09,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-018-B001,365550-ESR-018,Anseong Logistics Park 3,"23-10, Neunggukri, Iljuk-myeon, Anseong-si, Gyeonggi-do",,63676,logistics,,2021.04,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/62c74be3-cc12-5178-8139-3129a860bb84,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Anseong Logistics Park 3 / GFA 63676 sqm / completion 2021.04,2026-07-15T05:46:59.489143+00:00,0770b28215f4e0e96a52dc5037b25b9d98d87855a1b51727925ebd4789ca594f,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-019-B001,365550-ESR-019,Anseong Logistics Park 4,,,27040,logistics,,2021.11,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/c02a0753-1154-5194-8637-719a18cf82ea,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Anseong Logistics Park 4 / GFA 27040 sqm / completion 2021.11,2026-07-15T05:46:59.489143+00:00,3c146300a75135ef7b82ba77a450f5fd711213d3409cd456917aac24e79be270,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-020-B001,365550-ESR-020,Gimhae Logistics Park 1,,,25733,logistics,,2000.12,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/119ff6e9-9dd2-5693-845e-a35320871edb,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Gimhae Logistics Park 1 / GFA 25733 sqm / completion 2000.12,2026-07-15T05:46:59.489143+00:00,cc7ac69a5149e2ce5f99d225b0d9b69fcd990c9b1aa9f15d6b6ec4787e677650,tier_1_official_reit_website,building_value_open,,,,,,,
365550-ESR-021-B001,365550-ESR-021,Gimhae Logistics Park 2,,,39941,logistics,,2019.12,,,,,undetermined,,unknown,https://www.esrks-reit.com/en/portfolio/map/bf8ce01a-e1a8-5da8-8ace-c66a9ded3ae0,HTML portfolio detail,official_partial,official_reit_website,Portfolio Asset Detail,,Gimhae Logistics Park 2 / GFA 39941 sqm / completion 2019.12,2026-07-15T05:46:59.489143+00:00,074056e9b7005f1400d91c109d313c4e8eff1bbc5c5a6f872c024f02761605e9,tier_1_official_reit_website,building_value_open,,,,,,,
SKR-SEORIN-B-001,SKR-SEOUL-SEORIN-001,SK 서린동빌딩,서울특별시 종로구 종로 26,100213666,83827.66,업무시설,일반철골구조,1999,지상 36 / 지하 7,40221752104,2026,"서울시 ETAX 2026 주택외건물 시가표준액조회: 건물 40,114,560,137원 + 시설 107,191,967원",large_fire_risk,3,verified_applicable,https://etax.seoul.go.kr/jsp/BldnStndAmtLstAction.view?gnb_id=0709&lnb_id=0709&gl_gubun=l,"2026년 종로구 서린동 99, 동 0000, 호 00000",official_source_calculated,official_seoul_etax,2026 주택외건물 시가표준액조회,2026-07-15,"시가표준액 합계 40,221,752,104원; 건축물대장상 업무시설·지상 36층으로 시행령 제138조 대형 화재위험 건축물",2026-07-15T15:30:00+09:00,f1dd1105b0cc5ab1e2c0b764a97d91532c578e16d71fc1eed66cfa83d0a9d903,tier_1_municipal_tax_system,reviewed,official_non_residential_building_standard_value_total,building_standard_value_x_70_percent,building_standard_value_without_70_percent_ratio,official_source_calculated,https://www.law.go.kr/LSW/lsSideInfoP.do?docCls=jo&joBrNo=00&joNo=0102&lsiSeq=286395&urlMode=lsScJoRltInfoR,건축물대장 PK 100213666; 지방세법 시행령 제138조제2항제1호; 지방세법 제146조제3항제2호의2,업무시설·지상 36층인 비주거 11층 이상 건축물로 법정 300% 배율 산식 적용
