stock_code,reit_name,legal_name,listed_status,listing_date,reit_type,public_reit_status,public_reit_evidence,official_website,ir_page_url,dart_corp_code,asset_management_company,latest_reporting_date,source_url,verification_status,source_type,source_document_name,source_document_date,source_page,source_quote_or_evidence,retrieved_at,source_hash,source_reliability,reviewer_status
395400,SK리츠,에스케이위탁관리부동산투자회사 주식회사,listed_verified,2021-09-14,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.skreit.co.kr,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,395400 SK리츠 / 상장일 2021-09-14,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
330590,롯데리츠,롯데위탁관리부동산투자회사(주),listed_verified,2019-10-30,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.lottereit.co.kr,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,330590 롯데리츠 / 상장일 2019-10-30,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
451800,한화리츠,(주)한화위탁관리부동산투자회사,listed_verified,2023-03-27,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.hanwhareit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,451800 한화리츠 / 상장일 2023-03-27,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
365550,ESR켄달스퀘어리츠,ESR켄달스퀘어위탁관리동산투자회사,listed_verified,2020-12-23,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.esrks-reit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,365550 ESR켄달스퀘어리츠 / 상장일 2020-12-23,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
293940,신한알파리츠,(주)신한알파위탁관리부동산투자회사,listed_verified,2018-08-08,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.shalphareit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,293940 신한알파리츠 / 상장일 2018-08-08,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
448730,삼성FN리츠,(주)삼성에프앤위탁관리부동산투자회사,listed_verified,2023-04-10,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.samsungfnreit.com ,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,448730 삼성FN리츠 / 상장일 2023-04-10,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
417310,코람코더원리츠,(주)코람코더원위탁관리부동산투자회사,listed_verified,2022-03-28,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.koramcothe1.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,417310 코람코더원리츠 / 상장일 2022-03-28,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
357120,코람코라이프인프라리츠,(주)코람코라이프인프라위탁관리부동산투자회사,listed_verified,2020-08-31,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://koramcolifeinfra.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,357120 코람코라이프인프라리츠 / 상장일 2020-08-31,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
334890,이지스밸류플러스리츠,이지스밸류플러스위탁관리부동산투자회사,listed_verified,2020-07-16,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.igisvaluereit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,334890 이지스밸류플러스리츠 / 상장일 2020-07-16,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
348950,제이알글로벌리츠,주식회사제이알글로벌위탁관리부동산투자회사,listed_verified,2020-08-07,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.jrglobalreit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,348950 제이알글로벌리츠 / 상장일 2020-08-07,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
0030R0,대신밸류리츠,주식회사 대신밸류리츠위탁관리부동산투자회사,listed_verified,2025-07-10,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.daishinvaluereit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,0030R0 대신밸류리츠 / 상장일 2025-07-10,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
404990,신한서부티엔디리츠,신한서부티엔디위탁관리부동산투자회사,listed_verified,2021-12-10,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.shsbreit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,404990 신한서부티엔디리츠 / 상장일 2021-12-10,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
432320,KB스타리츠,주식회사 케이비스타위탁관리부동산투자회사,listed_verified,2022-10-06,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.kbstarreit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,432320 KB스타리츠 / 상장일 2022-10-06,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
088260,이리츠코크렙,(주)이리츠코크렙기업구조조정부동산투자회사,listed_verified,2018-06-27,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.ereits.co.kr,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,088260 이리츠코크렙 / 상장일 2018-06-27,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
377190,디앤디플랫폼리츠,(주)디앤디플랫폼위탁관리부동산투자회사,listed_verified,2021-08-27,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.dndplatformreit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,377190 디앤디플랫폼리츠 / 상장일 2021-08-27,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
400760,NH올원리츠,엔에이치올원위탁관리부동산투자회사,listed_verified,2021-11-18,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.nhallonereit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,400760 NH올원리츠 / 상장일 2021-11-18,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
350520,이지스레지던스리츠,이지스레지던스위탁관리부동산투자회사,listed_verified,2020-08-05,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.igisresidencereit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,350520 이지스레지던스리츠 / 상장일 2020-08-05,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
338100,NH프라임리츠,(주)엔에이치프라임위탁관리부동산투자회사,listed_verified,2019-12-05,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://nhprimereit.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,338100 NH프라임리츠 / 상장일 2019-12-05,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
396690,미래에셋글로벌리츠,미래에셋글로벌위탁관리부동산투자회사,listed_verified,2021-12-03,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.globalreit.miraeasset.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,396690 미래에셋글로벌리츠 / 상장일 2021-12-03,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
357250,미래에셋맵스리츠,주식회사 미래에셋맵스제1호위탁관리부동산투자회사,listed_verified,2020-08-05,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.maps1reit.miraeasset.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,357250 미래에셋맵스리츠 / 상장일 2020-08-05,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
481850,신한글로벌액티브리츠,주식회사 신한글로벌액티브위탁관리부동산투자회사,listed_verified,2024-07-01,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://shglobalreit.com/main/main.php,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,481850 신한글로벌액티브리츠 / 상장일 2024-07-01,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
145270,케이탑리츠,(주)케이탑자기관리부동산투자회사,listed_verified,2012-01-31,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,https://www.ktopreits.co.kr,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,145270 케이탑리츠 / 상장일 2012-01-31,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
357430,마스턴프리미어리츠,(주)마스턴프리미어제1회위탁관리부동산투자회사,listed_verified,2022-05-31,,manual_review_required,상장 사실과 공모부동산투자회사 분리과세 요건은 별도 검토,http://www.masternpremier.com,,,,2026-07-15,https://reits.molit.go.kr/pub/invt/lsted/lstedReitsSearch?pmn=7,verified_notice,official_reit_information_system,상장리츠 현황,2026-07-15,HTML dynamic table,357430 마스턴프리미어리츠 / 상장일 2022-05-31,2026-07-15T05:46:38.660985+00:00,973855cf9e94386132493ee36768692ac3a056cc5e13a1402e00471982bc7530,tier_2_official_industry_system,reviewed
