stock_code,company_name,analysis_year,financial_year,reporting_period,metric_name,source_type,source_name,source_date,source_note,statement_scope,is_fallback,calculation_method,limitation
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,총자산,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 또는 Snapshot 직접값,재무제표 범위와 기준일을 함께 확인
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,총부채,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 직접값,총부채 결측 시 장부기준 NAV proxy 미산정
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,투자부동산,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 또는 Snapshot 직접값,감정평가 최신성은 별도 확인
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,이자부 차입부채,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공식 XBRL 유동·비유동 이자부 차입계정 합계,official_total_reconciled
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,유동성 이자부 차입부채,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공식 유동 차입금·유동 사채 계정 합계 또는 Snapshot,구성계정 완전성 확인 필요
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,현금및현금성자산,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 직접값,단기금융자산은 사용제한 확인 전 순차입금에서 차감하지 않음
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,충당부채,data_insufficient,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),True,공시 직접값,차입부채·금리충격 분자에서는 제외; 총부채에는 포함
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,장부기준 NAV proxy,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,총자산 - 총부채,시가평가 NAV가 아니며 총부채 결측 시 미산정
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,FFO proxy,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,annualized_operating_cash_flow_proxy,공식 FFO가 아니며 공시 영업활동현금흐름의 단순 연환산 proxy
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,추정 보유세,peer_snapshot_estimate,reit_tax_snapshot.csv,2026,공개 검증자료에 자산별 PNU·고지서가 없어 회사 전체 Snapshot 기반 effective-rate estimate로 사용,연결재무제표(CFS),True,effective-rate estimate 또는 data_insufficient,자산별 고지서·세목 범위·납세의무자 확인 전 예비 추정
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,보유세 / FFO proxy,peer_snapshot_estimate,재무 Snapshot + reit_tax_snapshot.csv,2026,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다. / 공개 검증자료에 자산별 PNU·고지서가 없어 회사 전체 Snapshot 기반 effective-rate estimate로 사용,연결재무제표(CFS),True,추정 보유세 / FFO proxy,서로 다른 source와 기간을 결합한 screening ratio
395400,SK리츠,2026,2026,2026-01-01~2026-03-31,총자산 기준 차입비율,official_disclosure,DART 2026Q1 보고서 (rcp_no 20260610000569),2026-03-31,재무상태표는 2026-03-31 연결재무제표(CFS) 기준이며 손익·현금흐름은 3개월 공시값을 4배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,이자부 차입부채 / 총자산,부동산 담보가치 기준 LTV가 아님
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,총자산,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 또는 Snapshot 직접값,재무제표 범위와 기준일을 함께 확인
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,총부채,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 직접값,총부채 결측 시 장부기준 NAV proxy 미산정
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,투자부동산,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 또는 Snapshot 직접값,감정평가 최신성은 별도 확인
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,이자부 차입부채,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공식 XBRL 단기차입금·유동성장기차입금·장기차입금 합계,official_total_reconciled
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,유동성 이자부 차입부채,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공식 유동 차입금·유동 사채 계정 합계 또는 Snapshot,구성계정 완전성 확인 필요
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,현금및현금성자산,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,공시 직접값,단기금융자산은 사용제한 확인 전 순차입금에서 차감하지 않음
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,충당부채,data_insufficient,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),True,공시 직접값,차입부채·금리충격 분자에서는 제외; 총부채에는 포함
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,장부기준 NAV proxy,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,총자산 - 총부채,시가평가 NAV가 아니며 총부채 결측 시 미산정
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,FFO proxy,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,annualized_operating_cash_flow_proxy,공식 FFO가 아니며 공시 영업활동현금흐름의 단순 연환산 proxy
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,추정 보유세,peer_snapshot_estimate,reit_tax_snapshot.csv,2026,자산별 PNU·고지서가 없어 회사 전체 Snapshot 기반 effective-rate estimate로 사용,연결재무제표(CFS),True,effective-rate estimate 또는 data_insufficient,자산별 고지서·세목 범위·납세의무자 확인 전 예비 추정
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,보유세 / FFO proxy,peer_snapshot_estimate,재무 Snapshot + reit_tax_snapshot.csv,2026,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다. / 자산별 PNU·고지서가 없어 회사 전체 Snapshot 기반 effective-rate estimate로 사용,연결재무제표(CFS),True,추정 보유세 / FFO proxy,서로 다른 source와 기간을 결합한 screening ratio
365550,ESR켄달스퀘어리츠,2026,2025,2025-06-01~2025-11-30,총자산 기준 차입비율,official_disclosure,DART 사업보고서 (rcp_no 20260213002140),2025-11-30,재무상태표는 2025-11-30 연결재무제표(CFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,연결재무제표(CFS),False,이자부 차입부채 / 총자산,부동산 담보가치 기준 LTV가 아님
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,총자산,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,공시 또는 Snapshot 직접값,재무제표 범위와 기준일을 함께 확인
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,총부채,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,공시 직접값,총부채 결측 시 장부기준 NAV proxy 미산정
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,투자부동산,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,공시 또는 Snapshot 직접값,감정평가 최신성은 별도 확인
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,이자부 차입부채,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,공식 XBRL 유동·비유동 이자부 차입계정 합계,official_total_reconciled
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,유동성 이자부 차입부채,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,공식 유동 차입금·유동 사채 계정 합계 또는 Snapshot,구성계정 완전성 확인 필요
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,현금및현금성자산,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,공시 직접값,단기금융자산은 사용제한 확인 전 순차입금에서 차감하지 않음
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,충당부채,data_insufficient,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),True,공시 직접값,차입부채·금리충격 분자에서는 제외; 총부채에는 포함
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,장부기준 NAV proxy,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,총자산 - 총부채,시가평가 NAV가 아니며 총부채 결측 시 미산정
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,FFO proxy,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,annualized_operating_cash_flow_proxy,공식 FFO가 아니며 공시 영업활동현금흐름의 단순 연환산 proxy
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,추정 보유세,peer_snapshot_estimate,reit_tax_snapshot.csv,2026,자산별 PNU·고지서 및 임대차별 세부담 귀속 확인 전 회사 전체 Snapshot 기반 estimate,별도재무제표(OFS),True,effective-rate estimate 또는 data_insufficient,자산별 고지서·세목 범위·납세의무자 확인 전 예비 추정
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,보유세 / FFO proxy,peer_snapshot_estimate,재무 Snapshot + reit_tax_snapshot.csv,2026,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다. / 자산별 PNU·고지서 및 임대차별 세부담 귀속 확인 전 회사 전체 Snapshot 기반 estimate,별도재무제표(OFS),True,추정 보유세 / FFO proxy,서로 다른 source와 기간을 결합한 screening ratio
330590,롯데리츠,2026,2025,2025-07-01~2025-12-31,총자산 기준 차입비율,official_disclosure,DART 사업보고서 (rcp_no 20260310002810),2025-12-31,재무상태표는 2025-12-31 별도재무제표(OFS) 기준이며 손익·현금흐름은 6개월 공시값을 2배 연환산했습니다. 보유세와 공시가격은 회사 전체 Snapshot 기반 추정입니다.,별도재무제표(OFS),False,이자부 차입부채 / 총자산,부동산 담보가치 기준 LTV가 아님
348950,제이알글로벌리츠,2026,2026,2026 Sample Snapshot,총자산,sample_estimate,Bundled peer sample,2026-07-02,해외자산 중심 회사의 국내 보유세 입력은 데이터 부족으로 처리합니다.,Sample estimate,True,공시 또는 Snapshot 직접값,재무제표 범위와 기준일을 함께 확인
348950,제이알글로벌리츠,2026,2026,2026 Sample Snapshot,총부채,data_insufficient,Bundled peer sample,2026-07-02,해외자산 중심 회사의 국내 보유세 입력은 데이터 부족으로 처리합니다.,Sample estimate,True,공시 직접값,총부채 결측 시 장부기준 NAV proxy 미산정
348950,제이알글로벌리츠,2026,2026,2026 Sample Snapshot,투자부동산,sample_estimate,Bundled peer sample,2026-07-02,해외자산 중심 회사의 국내 보유세 입력은 데이터 부족으로 처리합니다.,Sample estimate,True,공시 또는 Snapshot 직접값,감정평가 최신성은 별도 확인
