stock_code,company_name,request_item,request_purpose,related_issue,priority,priority_sort,review_area,source_trigger,note,source_type,latest_year
395400,SK리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 현금유출 스트레스 / FFO proxy 대비 보유세 부담 / 투자부동산 대비 공시가격,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
395400,SK리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
395400,SK리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 현금유출 스트레스 / FFO proxy 대비 보유세 부담 / 투자부동산 대비 공시가격,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
395400,SK리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
395400,SK리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
395400,SK리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
395400,SK리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
395400,SK리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
395400,SK리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
395400,SK리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
395400,SK리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 대비 보유세 부담 / 영업수익 대비 보유세 부담 / FFO proxy 현금유출 스트레스,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 대비 보유세 부담 / 영업수익 대비 보유세 부담 / FFO proxy 현금유출 스트레스,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
365550,ESR켄달스퀘어리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
330590,롯데리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 현금유출 스트레스 / FFO proxy 대비 보유세 부담 / 투자부동산 대비 공시가격,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
330590,롯데리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
330590,롯데리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 현금유출 스트레스 / FFO proxy 대비 보유세 부담 / 투자부동산 대비 공시가격,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
330590,롯데리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
330590,롯데리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
330590,롯데리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
330590,롯데리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
330590,롯데리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
330590,롯데리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
330590,롯데리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
330590,롯데리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 대비 보유세 부담 / 영업수익 대비 보유세 부담 / FFO proxy 현금유출 스트레스,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
348950,제이알글로벌리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 대비 보유세 부담 / 영업수익 대비 보유세 부담 / FFO proxy 현금유출 스트레스,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
348950,제이알글로벌리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
348950,제이알글로벌리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
293940,신한알파리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,영업수익 대비 보유세 부담 / 자산별 과세자료 정합성 검토 필요 / FFO proxy 현금유출 스트레스,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
293940,신한알파리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
293940,신한알파리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,영업수익 대비 보유세 부담 / 자산별 과세자료 정합성 검토 필요 / FFO proxy 현금유출 스트레스,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
293940,신한알파리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
293940,신한알파리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
293940,신한알파리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
293940,신한알파리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
293940,신한알파리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
293940,신한알파리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
293940,신한알파리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
293940,신한알파리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 대비 보유세 부담 / 영업수익 대비 보유세 부담 / FFO proxy 현금유출 스트레스,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 대비 보유세 부담 / 영업수익 대비 보유세 부담 / FFO proxy 현금유출 스트레스,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
400760,NH올원리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 현금유출 스트레스 / FFO proxy 대비 보유세 부담 / 투자부동산 대비 공시가격,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
400760,NH올원리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
400760,NH올원리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 현금유출 스트레스 / FFO proxy 대비 보유세 부담 / 투자부동산 대비 공시가격,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
400760,NH올원리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
400760,NH올원리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
400760,NH올원리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
400760,NH올원리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
400760,NH올원리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
400760,NH올원리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
400760,NH올원리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
400760,NH올원리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
334890,이지스밸류리츠,재산세 고지서,추정 보유세와 실제 고지세액을 자산별·연도별로 대사,FFO proxy 대비 보유세 부담 / FFO proxy 현금유출 스트레스 / 투자부동산 대비 공시가격,높음,1,보유세 정합성,peer_snapshot_estimate,"고지세액, 도시지역분, 지방교육세를 분리해 확인",peer_snapshot_estimate,2026
334890,이지스밸류리츠,개별공시지가 조회자료,공시가격 상승률과 기준가격의 원천을 확인,공시가격 / 장부가액 괴리,높음,1,공시가격 검증,peer_snapshot_estimate,공식 조회자료 또는 기준시가 산출 근거,peer_snapshot_estimate,2026
334890,이지스밸류리츠,FFO proxy 산정자료,보유세 현금유출이 배당가능재원에 미치는 영향을 확인하고 공식 FFO와 차이를 대사,FFO proxy 대비 보유세 부담 / FFO proxy 현금유출 스트레스 / 투자부동산 대비 공시가격,높음,1,FFO proxy 스트레스,peer_snapshot_estimate,연환산 여부와 조정항목을 함께 확인,peer_snapshot_estimate,2026
334890,이지스밸류리츠,배당가능이익 산정자료,추가 보유세 부담이 배당 여력에 미치는 영향을 검토,FFO proxy 현금유출 스트레스,중간,2,배당 여력,peer_snapshot_estimate,"이익준비금, 감가상각 조정, 현금 잔액과 연결",peer_snapshot_estimate,2026
334890,이지스밸류리츠,자산별 장부가액 명세,투자부동산 장부금액과 공시가격·과세표준을 대사,공시가격 / 장부가액 괴리,높음,1,장부가액 대사,peer_snapshot_estimate,자산 master와 재무제표 금액을 연결,peer_snapshot_estimate,2026
334890,이지스밸류리츠,토지대장,"토지면적, 지번, 소유 구조를 확인",자산별 과세자료 정합성,높음,1,공시가격 검증,peer_snapshot_estimate,PNU 또는 소재지 기준으로 대사,peer_snapshot_estimate,2026
334890,이지스밸류리츠,건축물대장,"건축물 용도와 면적, 시가표준액 산정 근거를 확인",과세표준 산정,높음,1,과세표준 검증,peer_snapshot_estimate,건축물 용도별 세율과 감면 여부 확인,peer_snapshot_estimate,2026
334890,이지스밸류리츠,자산별 위치 및 면적 자료,회사 전체 추정값을 자산별 공시가격·과세표준 입력값으로 전환,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,회사 전체 추정 행을 공식 세액처럼 사용하지 않기 위한 보완 요청,peer_snapshot_estimate,2026
334890,이지스밸류리츠,자산별 장부가액 명세,회사 전체 장부금액을 자산별 투자부동산 장부금액으로 분해,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,자산별 상세자료 부족 보완,peer_snapshot_estimate,2026
334890,이지스밸류리츠,자산별 세부 보유세 산출자료,회사 전체 Snapshot 추정값을 실제 고지세액 및 과세표준과 대사,자산별 상세자료 부족 보완,높음,1,자료 보완,peer_snapshot_estimate,"고지서, 과세표준, 감면, 세부담상한 적용 여부 포함",peer_snapshot_estimate,2026
334890,이지스밸류리츠,임대수익 명세,보유세 부담이 자산별 수익성에 미치는 영향을 분석,보유세 / 영업수익,중간,2,수익성 검토,peer_snapshot_estimate,자산별 NOI가 있으면 우선 요청,peer_snapshot_estimate,2026
